ts,open,high,low,close,vol,turn
2025-05-29 23:45:00+00:00,15.093,15.109,14.977,15.031,467909.9,7027402.8473
2025-05-30 00:00:00+00:00,15.031,15.098,15.015,15.086,198906.1,2995725.9885
2025-05-30 00:15:00+00:00,15.086,15.11,15.028,15.042,184169.7,2775991.5991
2025-05-30 00:30:00+00:00,15.042,15.046,14.917,14.987,175354.6,2626091.0671
2025-05-30 00:45:00+00:00,14.987,15.003,14.151,14.378,3230266.2,46918381.6354
2025-05-30 01:00:00+00:00,14.378,14.601,14.349,14.56,741509.2,10750848.3032
2025-05-30 01:15:00+00:00,14.56,14.639,14.492,14.629,622558.7,9072823.1162
2025-05-30 01:30:00+00:00,14.629,14.665,14.539,14.559,250938.3,3659572.1029
2025-05-30 01:45:00+00:00,14.559,14.591,14.478,14.515,122184.5,1774713.458
2025-05-30 02:00:00+00:00,14.515,14.619,14.494,14.599,234138.5,3408393.7239
2025-05-30 02:15:00+00:00,14.599,14.675,14.593,14.619,189179.7,2769476.4914
2025-05-30 02:30:00+00:00,14.619,14.72,14.618,14.706,125909.2,1848473.0573
2025-05-30 02:45:00+00:00,14.706,14.727,14.652,14.664,96265.4,1414015.2446
2025-05-30 03:00:00+00:00,14.664,14.689,14.605,14.678,99570.6,1458400.3841
2025-05-30 03:15:00+00:00,14.678,14.714,14.648,14.712,58549.7,859451.651
2025-05-30 03:30:00+00:00,14.712,14.735,14.672,14.695,42705.7,628311.4353
2025-05-30 03:45:00+00:00,14.695,14.704,14.67,14.696,42297.3,621166.9083
2025-05-30 04:00:00+00:00,14.696,14.696,14.617,14.625,74877.2,1097232.843
2025-05-30 04:15:00+00:00,14.625,14.665,14.606,14.651,26619.1,389577.5927
2025-05-30 04:30:00+00:00,14.651,14.704,14.616,14.704,69739.9,1021423.1952
2025-05-30 04:45:00+00:00,14.704,14.741,14.682,14.69,79432.9,1169298.5741
2025-05-30 05:00:00+00:00,14.69,14.749,14.668,14.668,46100.5,678408.4589
2025-05-30 05:15:00+00:00,14.668,14.698,14.643,14.689,70754.7,1037661.8768
2025-05-30 05:30:00+00:00,14.689,14.753,14.677,14.727,96828.3,1425433.2972
2025-05-30 05:45:00+00:00,14.727,14.733,14.638,14.701,81458.4,1197151.9301
2025-05-30 06:00:00+00:00,14.701,14.716,14.649,14.658,55168.9,809855.3085
2025-05-30 06:15:00+00:00,14.658,14.662,14.559,14.568,76660.8,1118857.5276
2025-05-30 06:30:00+00:00,14.568,14.587,14.492,14.502,126001.3,1830360.2861
2025-05-30 06:45:00+00:00,14.502,14.506,14.422,14.498,127757.6,1847890.6751
2025-05-30 07:00:00+00:00,14.498,14.599,14.46,14.491,111422.0,1619122.7536
2025-05-30 07:15:00+00:00,14.491,14.619,14.491,14.561,98608.1,1436300.3584
2025-05-30 07:30:00+00:00,14.561,14.577,14.487,14.543,112944.5,1642853.6592
2025-05-30 07:45:00+00:00,14.543,14.58,14.48,14.486,194732.5,2828689.4742
2025-05-30 08:00:00+00:00,14.486,14.516,14.408,14.467,433011.8,6267061.3329
2025-05-30 08:15:00+00:00,14.467,14.542,14.422,14.523,363965.3,5267133.6481
2025-05-30 08:30:00+00:00,14.523,14.574,14.404,14.445,331536.5,4796303.0516
2025-05-30 08:45:00+00:00,14.445,14.53,14.427,14.43,268876.2,3894638.7026
2025-05-30 09:00:00+00:00,14.43,14.493,14.383,14.434,363576.7,5247536.53
2025-05-30 09:15:00+00:00,14.434,14.5,14.415,14.417,294031.3,4251171.3596
2025-05-30 09:30:00+00:00,14.417,14.433,14.276,14.368,466800.7,6698408.3863
2025-05-30 09:45:00+00:00,14.368,14.498,14.363,14.474,140213.2,2022809.3826
2025-05-30 10:00:00+00:00,14.474,14.489,14.364,14.379,97377.8,1405780.479
2025-05-30 10:15:00+00:00,14.379,14.48,14.363,14.48,55136.1,795511.3796
2025-05-30 10:30:00+00:00,14.48,14.48,14.424,14.454,46332.8,669599.6737
2025-05-30 10:45:00+00:00,14.454,14.536,14.446,14.521,92026.7,1335296.1551
2025-05-30 11:00:00+00:00,14.521,14.581,14.504,14.52,86967.5,1264597.7257
2025-05-30 11:15:00+00:00,14.52,14.558,14.488,14.502,67536.6,980888.9195
