symbol,entry_timestamp,exit_timestamp,side,entry_price,exit_price,pnl_pct,exit_reason,sl_price,tp_price,sl_what_if_hit_tp,sl_what_if_max_profit_pct,sl_what_if_max_loss_pct,params
SOLUSDT,2025-06-27 04:35:00+00:00,2025-06-27 07:18:00+00:00,SHORT,141.37000,141.79411,-0.00420,SL,141.79411,139.24945,False,0.00601,-0.00523,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:26:00+00:00,2025-06-25 07:26:00+00:00,SHORT,146.19000,146.92095,-0.00620,SL,146.92095,143.99715,True,0.03092,-0.01012,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:27:00+00:00,2025-06-25 15:31:00+00:00,SHORT,147.32000,145.11020,0.01380,TP,148.05660,145.11020,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:35:00+00:00,2025-06-26 02:19:00+00:00,LONG,143.43000,145.58145,0.01380,TP,142.71285,145.58145,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 21:21:00+00:00,LONG,141.84000,141.13080,-0.00620,SL,141.13080,143.96760,False,-0.00106,-0.02989,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 03:50:00+00:00,SHORT,140.72000,141.42360,-0.00620,SL,141.42360,138.60920,False,0.00277,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 04:35:00+00:00,2025-06-27 07:20:00+00:00,SHORT,141.37000,142.07685,-0.00620,SL,142.07685,139.24945,False,0.00601,-0.00424,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:26:00+00:00,2025-06-25 07:26:00+00:00,SHORT,146.19000,147.21333,-0.00820,SL,147.21333,143.99715,True,0.03092,-0.01012,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:27:00+00:00,2025-06-25 15:31:00+00:00,SHORT,147.32000,145.11020,0.01380,TP,148.35124,145.11020,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:35:00+00:00,2025-06-26 02:19:00+00:00,LONG,143.43000,145.58145,0.01380,TP,142.42599,145.58145,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 21:21:00+00:00,LONG,141.84000,140.84712,-0.00820,SL,140.84712,143.96760,False,-0.00106,-0.02989,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 07:14:00+00:00,SHORT,140.72000,141.70504,-0.00820,SL,141.70504,138.60920,False,0.00142,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:24:00+00:00,2025-06-25 07:20:00+00:00,SHORT,146.00000,146.43800,-0.00420,SL,146.43800,145.27000,True,0.01938,-0.01144,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:24:00+00:00,2025-06-25 07:26:00+00:00,SHORT,146.60000,147.03980,-0.00420,SL,147.03980,145.86700,True,0.03363,-0.00730,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:26:00+00:00,2025-06-25 15:31:00+00:00,SHORT,147.36000,146.62320,0.00380,TP,147.80208,146.62320,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:32:00+00:00,2025-06-25 15:34:00+00:00,LONG,143.67000,143.23899,-0.00420,SL,143.23899,144.38835,True,0.02784,-0.01392,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:34:00+00:00,2025-06-25 17:19:00+00:00,LONG,143.25000,143.96625,0.00380,TP,142.82025,143.96625,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:19:00+00:00,2025-06-26 02:46:00+00:00,SHORT,145.70000,144.97150,0.00380,TP,146.13710,144.97150,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:55:00+00:00,2025-06-26 03:04:00+00:00,SHORT,146.32000,146.75896,-0.00420,SL,146.75896,145.58840,True,0.04675,-0.00923,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:06:00+00:00,2025-06-26 03:21:00+00:00,SHORT,147.47000,146.73265,0.00380,TP,147.91241,146.73265,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 20:06:00+00:00,LONG,141.84000,142.54920,0.00380,TP,141.41448,142.54920,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 20:42:00+00:00,2025-06-26 20:49:00+00:00,SHORT,143.74000,143.02130,0.00380,TP,144.17122,143.02130,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:12:00+00:00,2025-06-26 21:21:00+00:00,LONG,141.50000,141.07550,-0.00420,SL,141.07550,142.20750,False,0.00134,-0.02756,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:35:00+00:00,2025-06-26 21:50:00+00:00,LONG,139.74000,140.43870,0.00380,TP,139.32078,140.43870,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 03:50:00+00:00,SHORT,140.72000,141.14216,-0.00420,SL,141.14216,140.01640,False,0.00277,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 04:28:00+00:00,2025-06-27 05:12:00+00:00,SHORT,141.17000,141.59351,-0.00420,SL,141.59351,140.46415,True,0.00595,-0.00666,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 06:44:00+00:00,2025-06-27 07:13:00+00:00,SHORT,141.20000,141.62360,-0.00420,SL,141.62360,140.49400,False,0.00482,-0.00644,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 07:16:00+00:00,2025-06-27 07:39:00+00:00,SHORT,141.69000,140.98155,0.00380,TP,142.11507,140.98155,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 07:43:00+00:00,2025-06-27 09:25:00+00:00,LONG,140.56000,141.26280,0.00380,TP,140.13832,141.26280,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:24:00+00:00,2025-06-25 07:25:00+00:00,SHORT,146.00000,146.73000,-0.00620,SL,146.73000,145.27000,True,0.02966,-0.01144,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:25:00+00:00,2025-06-25 15:31:00+00:00,SHORT,146.86000,146.12570,0.00380,TP,147.59430,146.12570,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:32:00+00:00,2025-06-25 17:20:00+00:00,LONG,143.67000,144.38835,0.00380,TP,142.95165,144.38835,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:19:00+00:00,2025-06-26 02:46:00+00:00,SHORT,145.70000,144.97150,0.00380,TP,146.42850,144.97150,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:55:00+00:00,2025-06-26 03:04:00+00:00,SHORT,146.32000,147.05160,-0.00620,SL,147.05160,145.58840,True,0.04675,-0.00923,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:06:00+00:00,2025-06-26 03:21:00+00:00,SHORT,147.47000,146.73265,0.00380,TP,148.20735,146.73265,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 20:06:00+00:00,LONG,141.84000,142.54920,0.00380,TP,141.13080,142.54920,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 20:42:00+00:00,2025-06-26 20:49:00+00:00,SHORT,143.74000,143.02130,0.00380,TP,144.45870,143.02130,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:12:00+00:00,2025-06-26 21:21:00+00:00,LONG,141.50000,140.79250,-0.00620,SL,140.79250,142.20750,False,0.00134,-0.02756,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:35:00+00:00,2025-06-26 21:50:00+00:00,LONG,139.74000,140.43870,0.00380,TP,139.04130,140.43870,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 03:50:00+00:00,SHORT,140.72000,141.42360,-0.00620,SL,141.42360,140.01640,False,0.00277,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 04:28:00+00:00,2025-06-27 06:03:00+00:00,SHORT,141.17000,140.46415,0.00380,TP,141.87585,140.46415,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 06:44:00+00:00,2025-06-27 07:19:00+00:00,SHORT,141.20000,141.90600,-0.00620,SL,141.90600,140.49400,False,0.00482,-0.00644,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 07:43:00+00:00,2025-06-27 09:25:00+00:00,LONG,140.56000,141.26280,0.00380,TP,139.85720,141.26280,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:24:00+00:00,2025-06-25 07:26:00+00:00,SHORT,146.00000,147.02200,-0.00820,SL,147.02200,145.27000,True,0.02966,-0.01144,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:26:00+00:00,2025-06-25 15:31:00+00:00,SHORT,147.36000,146.62320,0.00380,TP,148.39152,146.62320,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:32:00+00:00,2025-06-25 17:20:00+00:00,LONG,143.67000,144.38835,0.00380,TP,142.66431,144.38835,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:19:00+00:00,2025-06-26 02:46:00+00:00,SHORT,145.70000,144.97150,0.00380,TP,146.71990,144.97150,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:55:00+00:00,2025-06-26 03:04:00+00:00,SHORT,146.32000,147.34424,-0.00820,SL,147.34424,145.58840,True,0.04675,-0.00923,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:06:00+00:00,2025-06-26 03:21:00+00:00,SHORT,147.47000,146.73265,0.00380,TP,148.50229,146.73265,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 20:06:00+00:00,LONG,141.84000,142.54920,0.00380,TP,140.84712,142.54920,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 20:42:00+00:00,2025-06-26 20:49:00+00:00,SHORT,143.74000,143.02130,0.00380,TP,144.74618,143.02130,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:12:00+00:00,2025-06-26 21:33:00+00:00,LONG,141.50000,140.50950,-0.00820,SL,140.50950,142.20750,False,0.00134,-0.02756,ema:10_rsi:14_fixed
